Date|Value
03/25/2024 00:10:34|12.2
03/25/2024 00:25:34|12.2
03/25/2024 00:40:34|12.1
03/25/2024 00:55:34|12.1
03/25/2024 01:10:34|12.1
03/25/2024 01:25:34|12
03/25/2024 01:40:34|12
03/25/2024 01:55:34|12
03/25/2024 02:10:34|11.9
03/25/2024 02:25:34|11.9
03/25/2024 02:40:34|11.9
03/25/2024 02:55:34|11.8
03/25/2024 03:10:34|11.8
03/25/2024 03:25:34|11.8
03/25/2024 03:40:34|11.7
03/25/2024 03:55:34|11.8
03/25/2024 04:10:33|11.6
03/25/2024 04:25:33|11.6
03/25/2024 04:40:33|11.6
03/25/2024 04:55:33|11.6
03/25/2024 05:10:33|11.6
03/25/2024 05:25:33|11.5
03/25/2024 05:40:33|11.5
03/25/2024 05:55:33|11.4
03/25/2024 06:10:33|11.5
03/25/2024 06:25:33|11.7
03/25/2024 06:40:33|12
03/25/2024 06:55:33|12.1
03/25/2024 07:10:33|12.2
03/25/2024 07:25:33|12.1
03/25/2024 07:40:33|12.2
03/25/2024 07:55:33|12.2
03/25/2024 08:10:33|12.3
03/25/2024 08:25:33|12.3
03/25/2024 08:40:33|12.4
03/25/2024 08:55:33|12.5
03/25/2024 09:10:33|12.4
03/25/2024 09:25:32|12.5
03/25/2024 09:40:32|12.5
03/25/2024 09:55:32|12.6
03/25/2024 10:10:32|12.5
03/25/2024 10:25:32|12.6
03/25/2024 10:40:32|12.7
03/25/2024 10:55:32|12.6
03/25/2024 11:10:32|12.6
03/25/2024 11:25:32|12.7
03/25/2024 11:40:32|12.7
03/25/2024 11:55:32|12.8
03/25/2024 12:10:32|12.7
03/25/2024 12:25:32|12.8
03/25/2024 12:40:32|12.8
03/25/2024 12:55:32|12.8
03/25/2024 13:10:32|12.8
03/25/2024 13:25:32|12.9
03/25/2024 13:40:32|12.9
03/25/2024 13:55:32|12.9
03/25/2024 14:10:32|12.9
03/25/2024 14:25:32|13
03/25/2024 14:40:31|13
03/25/2024 14:55:31|13
03/25/2024 15:10:31|13.1
03/25/2024 15:25:31|13.1
03/25/2024 15:40:31|13.2
03/25/2024 15:55:31|13.2
03/25/2024 16:10:31|13.2
03/25/2024 16:25:31|13.2
03/25/2024 16:40:31|13.3
03/25/2024 16:55:31|13.3
03/25/2024 17:10:31|13.3
03/25/2024 17:25:31|13.3
03/25/2024 17:40:31|13.2
03/25/2024 17:55:31|13.2
03/25/2024 18:10:31|13.1
03/25/2024 18:25:31|13
03/25/2024 18:40:31|13
03/25/2024 18:55:31|12.9
03/25/2024 19:10:31|12.9
03/25/2024 19:25:31|12.9
03/25/2024 19:40:31|12.8
03/25/2024 19:55:31|12.7
03/25/2024 20:10:30|12.7
03/25/2024 20:25:30|12.7
03/25/2024 20:40:30|12.6
03/25/2024 20:55:30|12.5
03/25/2024 21:10:30|12.5
03/25/2024 21:25:30|12.5
03/25/2024 21:40:30|12.4
03/25/2024 21:55:30|12.4
03/25/2024 22:10:30|12.4
03/25/2024 22:25:30|12.4
03/25/2024 22:40:30|12.3
03/25/2024 22:55:30|12.3
03/25/2024 23:10:30|12.2
03/25/2024 23:25:30|12.2
03/25/2024 23:40:30|12.1
03/25/2024 23:55:30|12.1
03/26/2024 00:10:30|12.1
03/26/2024 00:25:30|12
03/26/2024 00:40:30|12
03/26/2024 00:55:30|11.9
03/26/2024 01:10:30|11.9
03/26/2024 01:25:29|11.8
03/26/2024 01:40:29|11.8
03/26/2024 01:55:29|11.7
03/26/2024 02:10:29|11.7
03/26/2024 02:25:29|11.6
03/26/2024 02:40:29|11.6
03/26/2024 02:55:29|11.6
03/26/2024 03:10:29|11.5
03/26/2024 03:25:29|11.5
03/26/2024 03:40:29|11.4
03/26/2024 03:55:29|11.4
03/26/2024 04:10:29|11.3
