Datum,Temp
2024-03-25,5.1
2024-03-26,8.1
2024-03-27,13.0
2024-03-28,9.9
2024-03-29,11.2
2024-03-30,17.0
2024-03-31,15.4
2024-04-01,13.8
2024-04-02,10.7
2024-04-03,11.0
2024-04-04,12.4
2024-04-05,15.5
2024-04-06,18.8
2024-04-07,19.1
2024-04-08,21.0
2024-04-09,18.4
2024-04-10,10.0
2024-04-11,11.6
2024-04-12,14.5
2024-04-13,16.5
2024-04-14,15.6
2024-04-15,10.5
2024-04-16,6.7
2024-04-17,5.6
2024-04-18,4.8
2024-04-19,6.0
2024-04-20,4.5
2024-04-21,3.8
2024-04-22,1.9
2024-04-23,3.9
2024-04-24,5.4
2024-04-25,4.8
2024-04-26,9.5
2024-04-27,14.7
2024-04-28,17.1
2024-04-29,17.4
2024-04-30,21.3
2024-05-01,20.1
2024-05-02,19.6
2024-05-03,15.3
2024-05-04,14.7
2024-05-05,14.8
2024-05-06,13.3
2024-05-07,10.1
2024-05-08,12.5
2024-05-09,13.4
2024-05-10,14.9
2024-05-11,15.4
2024-05-12,15.3
2024-05-13,17.9
2024-05-14,19.0
2024-05-15,19.8
2024-05-16,18.7
2024-05-17,16.2
2024-05-18,14.6
2024-05-19,16.0
2024-05-20,16.6
2024-05-21,19.1
2024-05-22,15.6
2024-05-23,17.8
